Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Josef van der Wiel,Netwerken en systeembeveiliging,p6,A1.08,do,9
Josef van der Wiel,Heuristieken 2,w4,A1.08,vr,11
Josef van der Wiel,Analysemethoden en -technieken,h4,C1.112,di,11
Josef van der Wiel,Heuristieken 2,h1,C1.112,do,13
Josef van der Wiel,Project Genetic Algorithms,p1,A1.08,do,11
Chrystel Kalshoven,Lineaire Algebra,h4,B0.201,ma,11
Chrystel Kalshoven,Kansrekenen 2,h13,C1.112,vr,13
Chrystel Kalshoven,Kansrekenen 2,h11,C0.110,ma,13
Chrystel Kalshoven,Compilerbouw practicum,p5,B0.201,di,9
Chrystel Kalshoven,Netwerken en systeembeveiliging,p2,C1.112,do,9
Chrystel Kalshoven,Lineaire Algebra,h4,C1.112,ma,9
Chrystel Kalshoven,Programmeren in Java 2,p9,A1.08,do,11
Noud Menke,Zoeken sturen en bewegen,p1,A1.06,ma,13
Noud Menke,Compilerbouw,h8,C1.112,di,11
Noud Menke,Compilerbouw,w5,B0.201,vr,13
Noud Menke,Compilerbouw,p1,A1.04,di,13
Noud Menke,Programmeren in Java 2,p9,A1.08,do,11
Noud Menke,Compilerbouw,h1,A1.08,di,9
Talha Vermeeren,Data Mining,p1,A1.08,di,13
Talha Vermeeren,Netwerken en systeembeveiliging,p2,C1.112,do,9
Talha Vermeeren,Data Mining,h1,B0.201,vr,13
Talha Vermeeren,Data Mining,h4,C1.112,vr,15
Talha Vermeeren,Data Mining,w1,A1.06,vr,11
Renco van Weel,Technology for games,h1,C1.112,wo,11
Renco van Weel,Software engineering,w10,A1.08,vr,9
Renco van Weel,Software engineering,p12,B0.201,di,9
Renco van Weel,Project Numerical Recipes,p4,B0.201,wo,11
Renco van Weel,Technology for games,w1,C0.110,wo,13
Renco van Weel,Kansrekenen 2,h11,C0.110,ma,13
Renco van Weel,Software engineering,h8,A1.04,wo,9
Renco van Weel,Technology for games,h4,A1.04,vr,11
Renco van Weel,Kansrekenen 2,h9,A1.08,vr,13
Filipe Wiersema,Compilerbouw,h6,A1.04,di,9
Filipe Wiersema,Compilerbouw,h8,C1.112,di,11
Filipe Wiersema,Autonomous Agents 2,h2,A1.06,do,13
Filipe Wiersema,Databases 2,w5,C1.112,wo,15
Filipe Wiersema,Compilerbouw,p2,C1.112,ma,13
Filipe Wiersema,Databases 2,h1,A1.10,wo,13
Filipe Wiersema,Autonomous Agents 2,h1,A1.10,do,11
Filipe Wiersema,Compilerbouw,w1,B0.201,vr,11
Filipe Wiersema,Autonomous Agents 2,w2,A1.06,vr,13
Filipe Wiersema,Autonomous Agents 2,p3,A1.06,di,13
Marco Gilsing,Moderne Databases,w6,C1.112,wo,15
Marco Gilsing,Moderne Databases,h7,A1.08,ma,13
