Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Chrystel Kalshoven,Netwerken en systeembeveiliging,p2,C0.110,wo,15
Chrystel Kalshoven,Kansrekenen 2,h1,A1.08,wo,13
Chrystel Kalshoven,Lineaire Algebra,h2,C1.112,wo,11
Chrystel Kalshoven,Kansrekenen 2,h2,A1.04,do,15
Chrystel Kalshoven,Lineaire Algebra,h1,A1.10,vr,15
Chrystel Kalshoven,Programmeren in Java 2,p2,A1.04,vr,13
Chrystel Kalshoven,Compilerbouw practicum,p3,C0.110,ma,9
Oumaima Donselaar,Informatie- en organisatieontwerp,w1,A1.08,do,9
Oumaima Donselaar,Informatie- en organisatieontwerp,p1,C0.110,vr,9
Oumaima Donselaar,Informatie- en organisatieontwerp,h2,A1.10,ma,11
Oumaima Donselaar,Informatie- en organisatieontwerp,h1,B0.201,vr,11
Liza Traa,Heuristieken 2,h1,C0.110,vr,17
Liza Traa,Databases 2,w1,C1.112,di,13
Liza Traa,Databases 2,h1,A1.10,ma,9
Liza Traa,Heuristieken 2,w1,C1.112,ma,15
Harwin van Loon,Technology for games,w1,A1.04,ma,15
Harwin van Loon,Collectieve Intelligentie,w2,C0.110,di,17
Harwin van Loon,Databases 2,w2,A1.10,do,13
Harwin van Loon,Collectieve Intelligentie,h2,A1.04,ma,11
Harwin van Loon,Technology for games,h1,A1.06,do,15
Harwin van Loon,Databases 2,h1,A1.10,ma,9
Harwin van Loon,Collectieve Intelligentie,h3,C1.112,ma,9
Harwin van Loon,Technology for games,h2,A1.10,wo,11
Harwin van Loon,Collectieve Intelligentie,h1,A1.08,di,9
Harwin van Loon,Compilerbouw practicum,p3,C0.110,ma,9
Harwin van Loon,Collectieve Intelligentie,p1,A1.08,ma,9
Harke Wester,Heuristieken 1,h1,A1.08,ma,13
Harke Wester,Collectieve Intelligentie,p2,A1.06,vr,9
Harke Wester,Collectieve Intelligentie,h2,A1.04,ma,11
Harke Wester,Collectieve Intelligentie,h3,C1.112,ma,9
Harke Wester,Collectieve Intelligentie,w4,A1.10,wo,13
Harke Wester,Heuristieken 1,w1,A1.08,do,15
Harke Wester,Collectieve Intelligentie,h1,A1.08,di,9
Caressa van Roemburg,Programmeren in Java 2,p4,A1.08,ma,15
Siri Droge,Project Numerical Recipes,p1,C1.112,vr,11
Rijkje Groote,Software engineering,p2,A1.04,di,15
Rijkje Groote,Software engineering,w1,C1.112,ma,11
Rijkje Groote,Calculus 2,h1,A1.08,wo,15
Rijkje Groote,Interactie-ontwerp,h1,A1.06,ma,15
Rijkje Groote,Software engineering,h1,C0.110,do,17
Rijkje Groote,Calculus 2,w3,A1.08,do,13
Rijkje Groote,Interactie-ontwerp,h2,B0.201,wo,13
Narin Boshuis,Algoritmen en complexiteit,h1,A1.08,do,11
Narin Boshuis,Algoritmen en complexiteit,w2,A1.08,vr,13
Narin Boshuis,Algoritmen en complexiteit,p1,B0.201,vr,13
Luciana Putters,Autonomous Agents 2,h1,C0.110,wo,9
Luciana Putters,Autonomous Agents 2,w1,B0.201,vr,15
Luciana Putters,Autonomous Agents 2,p3,A1.06,vr,15
Luciana Putters,Autonomous Agents 2,h2,A1.04,di,11
Chi Liebregts,Compilerbouw practicum,p2,A1.04,di,13
Chi Liebregts,Algoritmen en complexiteit,h1,A1.08,do,11
Chi Liebregts,Algoritmen en complexiteit,w2,A1.08,vr,13
Chi Liebregts,Algoritmen en complexiteit,p2,A1.08,wo,9
Jorian van Zijderveld,Software engineering,w1,C1.112,ma,11
Jorian van Zijderveld,Software engineering,h1,C0.110,do,17
Jorian van Zijderveld,Software engineering,p2,A1.04,di,15
Jorian van Zijderveld,Programmeren in Java 2,p1,A1.06,vr,13
Sharief Stegink,Databases 2,w1,C1.112,di,13
Sharief Stegink,Databases 2,h1,A1.10,ma,9
Sharief Stegink,Netwerken en systeembeveiliging,p1,A1.08,vr,9
Rins Oosterbeek,Informatie- en organisatieontwerp,p1,C0.110,vr,9
Rins Oosterbeek,Data Mining,h2,A1.04,wo,15
Rins Oosterbeek,Informatie- en organisatieontwerp,h2,A1.10,ma,11
Rins Oosterbeek,Data Mining,h1,C0.110,do,9
Rins Oosterbeek,Informatie- en organisatieontwerp,w1,A1.08,do,9
Rins Oosterbeek,Data Mining,w2,A1.06,ma,11
Rins Oosterbeek,Zoeken sturen en bewegen,p1,C0.110,ma,17
Rins Oosterbeek,Data Mining,p2,A1.08,vr,15
Rins Oosterbeek,Informatie- en organisatieontwerp,h1,B0.201,vr,11
Jimi Sips,Collectieve Intelligentie,h2,A1.04,ma,11
Jimi Sips,Webprogrammeren en databases,h2,C0.110,di,13
Jimi Sips,Webprogrammeren en databases,p2,A1.08,wo,11
Jimi Sips,Calculus 2,h1,A1.08,wo,15
Jimi Sips,Collectieve Intelligentie,p3,A1.10,vr,13
Jimi Sips,Collectieve Intelligentie,h3,C1.112,ma,9
Jimi Sips,Calculus 2,w1,C1.112,di,15
Jimi Sips,Webprogrammeren en databases,h1,B0.201,do,9
Jimi Sips,Webprogrammeren en databases,w1,C1.112,wo,9
Jimi Sips,Collectieve Intelligentie,h1,A1.08,di,9
Jimi Sips,Collectieve Intelligentie,w1,B0.201,wo,15
Sayfeddine Wolswijk,Webprogrammeren en databases,h2,C0.110,di,13
Sayfeddine Wolswijk,Webprogrammeren en databases,h1,B0.201,do,9
Sayfeddine Wolswijk,Webprogrammeren en databases,w1,C1.112,wo,9
Sayfeddine Wolswijk,Webprogrammeren en databases,p1,B0.201,vr,9
Juno Zaaijer,Heuristieken 1,h1,A1.08,ma,13
Juno Zaaijer,Webprogrammeren en databases,p1,B0.201,vr,9
Juno Zaaijer,Webprogrammeren en databases,h2,C0.110,di,13
Juno Zaaijer,Webprogrammeren en databases,h1,B0.201,do,9
Juno Zaaijer,Webprogrammeren en databases,w2,C0.110,do,15
Juno Zaaijer,Heuristieken 1,w2,A1.06,ma,9
Pearl van der Leek,Moderne Databases,h1,C0.110,wo,13
Pearl van der Leek,Moderne Databases,p2,A1.08,di,13
Pearl van der Leek,Moderne Databases,w2,A1.06,di,11
Robbie van de Geijn,Reflectie op de digitale cultuur,w2,A1.04,wo,13
Robbie van de Geijn,Analysemethoden en -technieken,h1,C0.110,ma,11
Robbie van de Geijn,Reflectie op de digitale cultuur,h2,A1.10,do,11
Robbie van de Geijn,Reflectie op de digitale cultuur,h1,A1.10,vr,9
Heiltje Wijnands,Programmeren in Java 2,p3,B0.201,di,13
Heiltje Wijnands,Compilerbouw,h1,A1.08,di,15
Heiltje Wijnands,Compilerbouw,p1,A1.10,wo,9
Heiltje Wijnands,Compilerbouw,w1,A1.10,di,11
Heiltje Wijnands,Compilerbouw,h2,A1.06,wo,13
Heiltje Wijnands,Project Numerical Recipes,p1,C1.112,vr,11
Lody van Bentem,Project Numerical Recipes,p3,C0.110,di,9
Kelly Doedens,Calculus 2,w1,C1.112,di,15
Kelly Doedens,Calculus 2,h1,A1.08,wo,15
Kelly Doedens,Databases 2,w2,A1.10,do,13
Kelly Doedens,Databases 2,h1,A1.10,ma,9
Leon van den Hoogen,Calculus 2,w3,A1.08,do,13
