Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Seyed Laurijssen,Advanced Heuristics,h1,A1.04,ma,13
Seyed Laurijssen,Advanced Heuristics,p1,A1.08,di,11
Seyed Laurijssen,Analysemethoden en -technieken,h1,C0.110,ma,11
Yee Koppers,Interactie-ontwerp,h2,B0.201,vr,11
Yee Koppers,Calculus 2,h1,C0.110,vr,15
Yee Koppers,Interactie-ontwerp,h1,B0.201,vr,9
Yee Koppers,Calculus 2,w1,A1.04,vr,13
Eddy Gerritse,Analysemethoden en -technieken,h1,C0.110,ma,11
Shakir Paauwe,Bioinformatica,h2,C0.110,do,15
Shakir Paauwe,Bioinformatica,p2,A1.04,do,13
Shakir Paauwe,Bioinformatica,h3,B0.201,wo,11
Shakir Paauwe,Bioinformatica,h1,C1.112,do,11
Shakir Paauwe,Bioinformatica,w2,C0.110,ma,15
Shakir Paauwe,Netwerken en systeembeveiliging,p4,A1.10,ma,13
Annigje Prinssen,Moderne Databases,h1,A1.10,ma,9
Annigje Prinssen,Moderne Databases,p3,A1.08,ma,11
Annigje Prinssen,Netwerken en systeembeveiliging,p4,A1.10,ma,13
Annigje Prinssen,Moderne Databases,w3,C1.112,wo,15
Shairon van Aaken,Zoeken sturen en bewegen,p3,A1.10,di,9
Imran Scheffers,Calculus 2,w2,A1.10,wo,15
Imran Scheffers,Heuristieken 1,h1,C1.112,ma,15
Imran Scheffers,Analysemethoden en -technieken,h1,C0.110,ma,11
Imran Scheffers,Software engineering,w2,B0.201,wo,13
Imran Scheffers,Calculus 2,h1,C0.110,vr,15
Imran Scheffers,Heuristieken 1,w2,A1.08,ma,13
Imran Scheffers,Software engineering,p1,C1.112,di,15
Imran Scheffers,Software engineering,h1,C0.110,do,9
Farhad de Kuijer,Netwerken en systeembeveiliging,p2,A1.08,vr,11
Farhad de Kuijer,Project Numerical Recipes,p2,C1.112,vr,11
Kamil Streefland,Data Mining,p3,C0.110,vr,13
Kamil Streefland,Data Mining,w2,C1.112,vr,15
Kamil Streefland,Data Mining,h2,C1.112,di,9
Kamil Streefland,Programmeren in Java 2,p5,A1.06,di,9
Kamil Streefland,Data Mining,h1,A1.10,di,11
Kamil Streefland,Kansrekenen 2,h2,C0.110,wo,15
Kamil Streefland,Kansrekenen 2,h1,C0.110,wo,13
Bilal Tip,Netwerken en systeembeveiliging,p1,A1.10,wo,11
Seb Okkerse,Machine Learning,h1,C1.112,ma,11
Seb Okkerse,Machine Learning,h2,A1.06,ma,9
Nygel Vaatstra,Technology for games,w1,C0.110,vr,9
Nygel Vaatstra,Compilerbouw,h2,A1.10,vr,13
Nygel Vaatstra,Moderne Databases,p3,A1.08,ma,11
Nygel Vaatstra,Compilerbouw,h1,C0.110,di,11
Nygel Vaatstra,Technology for games,h1,A1.10,vr,11
Nygel Vaatstra,Technology for games,h2,C0.110,di,13
Nygel Vaatstra,Moderne Databases,h1,A1.10,ma,9
Nygel Vaatstra,Software engineering,w1,A1.04,wo,11
Nygel Vaatstra,Moderne Databases,w3,C1.112,wo,15
Nygel Vaatstra,Compilerbouw,p1,A1.04,vr,15
Nygel Vaatstra,Software engineering,p1,C1.112,di,15
Nygel Vaatstra,Software engineering,h1,C0.110,do,9
