Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Josef van der Wiel,Analysemethoden en -technieken,h1,C0.110,do,17
Josef van der Wiel,Project Genetic Algorithms,p2,B0.201,ma,15
Josef van der Wiel,Heuristieken 2,w1,A1.04,wo,15
Josef van der Wiel,Netwerken en systeembeveiliging,p4,A1.06,vr,13
Josef van der Wiel,Heuristieken 2,h1,A1.10,do,15
Chrystel Kalshoven,Programmeren in Java 2,p1,C1.112,di,15
Chrystel Kalshoven,Lineaire Algebra,h2,C0.110,ma,13
Chrystel Kalshoven,Kansrekenen 2,h1,C0.110,ma,11
Chrystel Kalshoven,Lineaire Algebra,h1,C1.112,ma,15
Chrystel Kalshoven,Compilerbouw practicum,p3,B0.201,ma,9
Chrystel Kalshoven,Netwerken en systeembeveiliging,p3,B0.201,wo,13
Chrystel Kalshoven,Kansrekenen 2,h2,C0.110,do,15
Noud Menke,Compilerbouw,w2,A1.10,ma,9
Noud Menke,Compilerbouw,p1,B0.201,di,13
Noud Menke,Programmeren in Java 2,p3,C1.112,di,11
Noud Menke,Zoeken sturen en bewegen,p2,A1.06,do,15
Noud Menke,Compilerbouw,h1,C0.110,wo,17
Noud Menke,Compilerbouw,h2,C0.110,wo,15
Talha Vermeeren,Data Mining,w3,B0.201,ma,11
Talha Vermeeren,Data Mining,h1,A1.04,di,11
Talha Vermeeren,Netwerken en systeembeveiliging,p1,A1.10,vr,13
Talha Vermeeren,Data Mining,p3,A1.08,wo,9
Talha Vermeeren,Data Mining,h2,A1.04,di,9
Renco van Weel,Software engineering,w1,A1.10,wo,9
Renco van Weel,Technology for games,w2,A1.08,do,15
Renco van Weel,Kansrekenen 2,h1,C0.110,ma,11
Renco van Weel,Software engineering,p2,A1.04,wo,11
Renco van Weel,Project Numerical Recipes,p1,A1.04,do,13
Renco van Weel,Kansrekenen 2,h2,C0.110,do,15
Renco van Weel,Technology for games,h1,A1.10,di,11
Renco van Weel,Software engineering,h1,C1.112,wo,13
Renco van Weel,Technology for games,h2,C1.112,di,9
Filipe Wiersema,Databases 2,w1,C0.110,di,15
Filipe Wiersema,Autonomous Agents 2,p4,A1.06,vr,9
Filipe Wiersema,Autonomous Agents 2,w4,A1.06,do,9
Filipe Wiersema,Autonomous Agents 2,h1,A1.04,do,11
Filipe Wiersema,Compilerbouw,p2,A1.04,wo,13
Filipe Wiersema,Compilerbouw,w1,A1.04,ma,9
Filipe Wiersema,Compilerbouw,h1,C0.110,wo,17
Filipe Wiersema,Databases 2,h1,C0.110,di,13
Filipe Wiersema,Autonomous Agents 2,h2,A1.10,do,13
Filipe Wiersema,Compilerbouw,h2,C0.110,wo,15
Marco Gilsing,Moderne Databases,p2,A1.08,wo,13
Marco Gilsing,Moderne Databases,w3,A1.06,ma,13
Marco Gilsing,Moderne Databases,h1,C0.110,do,13
Roelof Adam,Webprogrammeren en databases,w3,A1.06,ma,15
Roelof Adam,Webprogrammeren en databases,h1,C1.112,ma,13
Roelof Adam,Webprogrammeren en databases,h2,A1.04,di,13
Roelof Adam,Webprogrammeren en databases,p2,A1.04,di,15
Lucienne Caris,Algoritmen en complexiteit,w3,A1.08,do,11
Lucienne Caris,Compilerbouw,w2,A1.10,ma,9
Lucienne Caris,Algoritmen en complexiteit,h1,B0.201,do,13
Lucienne Caris,Algoritmen en complexiteit,p4,B0.201,do,9
Lucienne Caris,Compilerbouw,p1,B0.201,di,13
Lucienne Caris,Technology for games,h1,A1.10,di,11
Lucienne Caris,Technology for games,w1,A1.06,wo,13
Lucienne Caris,Compilerbouw,h1,C0.110,wo,17
Lucienne Caris,Technology for games,h2,C1.112,di,9
Lucienne Caris,Compilerbouw,h2,C0.110,wo,15
Jiri Vinke,Collectieve Intelligentie,w4,A1.10,di,9
Jiri Vinke,Collectieve Intelligentie,h1,C0.110,wo,9
Jiri Vinke,Collectieve Intelligentie,h3,C0.110,wo,11
Jiri Vinke,Collectieve Intelligentie,h2,C0.110,vr,11
Jiri Vinke,Collectieve Intelligentie,p3,B0.201,vr,13
Siri Droge,Project Numerical Recipes,p2,A1.08,wo,11
Wannes Lohuis,Compilerbouw,h1,C0.110,wo,17
Wannes Lohuis,Compilerbouw,p2,A1.04,wo,13
Wannes Lohuis,Compilerbouw,w2,A1.10,ma,9
Wannes Lohuis,Compilerbouw,h2,C0.110,wo,15
Djuri Korpershoek,Moderne Databases,p4,A1.06,ma,11
Djuri Korpershoek,Moderne Databases,w1,A1.06,do,11
Djuri Korpershoek,Moderne Databases,h1,C0.110,do,13
Wichard Stienen,Lineaire Algebra,h1,C1.112,ma,15
Wichard Stienen,Calculus 2,h1,C0.110,vr,13
Wichard Stienen,Lineaire Algebra,h2,C0.110,ma,13
Wichard Stienen,Calculus 2,w1,C1.112,vr,15
Jildou Corvers,Webprogrammeren en databases,w3,A1.06,ma,15
Jildou Corvers,Webprogrammeren en databases,h1,C1.112,ma,13
Jildou Corvers,Webprogrammeren en databases,h2,A1.04,di,13
Jildou Corvers,Webprogrammeren en databases,p2,A1.04,di,15
Ya Steeman,Zoeken sturen en bewegen,p2,A1.06,do,15
Heba Pelders,Project Genetic Algorithms,p3,A1.08,vr,15
Hendrik-Jan Prevoo,Reflectie op de digitale cultuur,w3,A1.10,wo,15
Hendrik-Jan Prevoo,Reflectie op de digitale cultuur,h2,B0.201,ma,13
Hendrik-Jan Prevoo,Reflectie op de digitale cultuur,h1,A1.10,ma,15
