Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Romy Piek,Software engineering,p1,A1.04,wo,15
Romy Piek,Machine Learning,h1,B0.201,do,15
Romy Piek,Heuristieken 2,h1,A1.04,vr,11
Romy Piek,Software engineering,h1,C0.110,ma,15
Romy Piek,Software engineering,w2,A1.04,wo,13
Romy Piek,Algoritmen en complexiteit,p1,B0.201,di,15
Romy Piek,Algoritmen en complexiteit,h1,B0.201,di,9
Romy Piek,Heuristieken 2,w1,A1.06,vr,15
Romy Piek,Machine Learning,h2,B0.201,vr,9
Romy Piek,Algoritmen en complexiteit,w2,B0.201,di,13
Harry Noordhuis,Analysemethoden en -technieken,h1,A1.10,di,11
Harry Noordhuis,Netwerken en systeembeveiliging,p2,A1.10,wo,15
Bjorn Leijen,Collectieve Intelligentie,h1,C0.110,di,13
Bjorn Leijen,Collectieve Intelligentie,w1,A1.06,wo,15
Bjorn Leijen,Software engineering,p2,A1.04,do,9
Bjorn Leijen,Collectieve Intelligentie,p3,A1.06,vr,11
Bjorn Leijen,Collectieve Intelligentie,h2,C0.110,di,15
Bjorn Leijen,Software engineering,w2,A1.04,wo,13
Bjorn Leijen,Collectieve Intelligentie,h3,C0.110,di,17
Bjorn Leijen,Software engineering,h1,C0.110,ma,15
Fredrika Lopez,Software engineering,p1,A1.04,wo,15
Fredrika Lopez,Algoritmen en complexiteit,w1,B0.201,di,11
Fredrika Lopez,Software engineering,w2,A1.04,wo,13
Fredrika Lopez,Algoritmen en complexiteit,p1,B0.201,di,15
Fredrika Lopez,Algoritmen en complexiteit,h1,B0.201,di,9
Fredrika Lopez,Software engineering,h1,C0.110,ma,15
Rins Oosterbeek,Zoeken sturen en bewegen,p2,A1.08,do,13
Rins Oosterbeek,Informatie- en organisatieontwerp,h1,A1.06,ma,13
Rins Oosterbeek,Informatie- en organisatieontwerp,w1,A1.08,ma,15
Rins Oosterbeek,Informatie- en organisatieontwerp,h2,A1.06,ma,15
Rins Oosterbeek,Data Mining,p1,A1.08,vr,9
Rins Oosterbeek,Informatie- en organisatieontwerp,p1,A1.08,di,11
Rins Oosterbeek,Data Mining,h2,A1.04,vr,15
Rins Oosterbeek,Data Mining,w2,C1.112,do,13
Rins Oosterbeek,Data Mining,h1,A1.04,vr,13
Olaf Sterenberg,Compilerbouw,p2,A1.04,di,13
Olaf Sterenberg,Calculus 2,h1,C0.110,ma,9
Olaf Sterenberg,Calculus 2,w2,A1.04,ma,11
Olaf Sterenberg,Programmeren in Java 2,p4,A1.10,vr,11
Olaf Sterenberg,Compilerbouw,w1,A1.04,ma,15
Olaf Sterenberg,Compilerbouw,h1,C0.110,di,9
Olaf Sterenberg,Compilerbouw,h2,C0.110,di,11
Yunus Westera,Machine Learning,h1,B0.201,do,15
Yunus Westera,Compilerbouw,w1,A1.04,ma,15
Yunus Westera,Compilerbouw,h1,C0.110,di,9
Yunus Westera,Compilerbouw,p1,A1.04,di,11
Yunus Westera,Compilerbouw,h2,C0.110,di,11
Yunus Westera,Machine Learning,h2,B0.201,vr,9
Mouna Lathouwers,Databases 2,h1,C0.110,ma,17
Mouna Lathouwers,Moderne Databases,p2,A1.10,wo,9
Mouna Lathouwers,Bioinformatica,h2,B0.201,ma,11
Mouna Lathouwers,Bioinformatica,h3,B0.201,ma,13
Mouna Lathouwers,Moderne Databases,h1,A1.10,ma,13
Mouna Lathouwers,Bioinformatica,h1,B0.201,ma,9
Mouna Lathouwers,Bioinformatica,w1,A1.06,di,11
Mouna Lathouwers,Bioinformatica,p3,A1.06,wo,13
Mouna Lathouwers,Moderne Databases,w3,A1.10,di,13
Mouna Lathouwers,Databases 2,w2,A1.04,wo,9
Desiree Potgieter,Databases 2,h1,C0.110,ma,17
Desiree Potgieter,Programmeren in Java 2,p4,A1.10,vr,11
Desiree Potgieter,Algoritmen en complexiteit,p1,B0.201,di,15
Desiree Potgieter,Algoritmen en complexiteit,h1,B0.201,di,9
Desiree Potgieter,Algoritmen en complexiteit,w2,B0.201,di,13
Desiree Potgieter,Databases 2,w2,A1.04,wo,9
Gradus Dams,Compilerbouw,p2,A1.04,di,13
Gradus Dams,Project Genetic Algorithms,p3,A1.08,wo,11
Gradus Dams,Compilerbouw,w1,A1.04,ma,15
Gradus Dams,Compilerbouw,h1,C0.110,di,9
