Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Patryk van de Kraats,Moderne Databases,h1,A1.10,ma,13
Patryk van de Kraats,Programmeren in Java 2,p3,A1.10,vr,9
Patryk van de Kraats,Moderne Databases,w3,A1.10,di,13
Patryk van de Kraats,Machine Learning,h1,B0.201,do,15
Patryk van de Kraats,Moderne Databases,p1,A1.10,di,15
Patryk van de Kraats,Machine Learning,h2,B0.201,vr,9
Emircan van de Bunt,Compilerbouw,h1,C0.110,di,9
Emircan van de Bunt,Compilerbouw,w1,A1.04,ma,15
Emircan van de Bunt,Compilerbouw,p2,A1.04,di,13
Emircan van de Bunt,Compilerbouw,h2,C0.110,di,11
Jersey van Ravesteijn,Interactie-ontwerp,h1,B0.201,wo,15
Jersey van Ravesteijn,Interactie-ontwerp,h2,B0.201,do,9
Enya Kemps,Databases 2,w1,A1.04,di,15
Enya Kemps,Databases 2,h1,C0.110,ma,17
Le Janga,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Le Janga,Kansrekenen 2,h1,C0.110,ma,11
Le Janga,Kansrekenen 2,h2,C0.110,ma,13
Le Janga,Compilerbouw,p2,A1.04,di,13
Le Janga,Compilerbouw,h2,C0.110,di,11
Le Janga,Compilerbouw,w2,C0.110,vr,11
Le Janga,Reflectie op de digitale cultuur,w2,C1.112,ma,13
Le Janga,Heuristieken 2,h1,A1.04,vr,11
Le Janga,Compilerbouw,h1,C0.110,di,9
Le Janga,Heuristieken 2,w2,B0.201,vr,11
Le Janga,Reflectie op de digitale cultuur,h2,A1.10,di,9
Sivar Rottier,Moderne Databases,w1,B0.201,vr,13
Sivar Rottier,Moderne Databases,p2,A1.10,wo,9
Sivar Rottier,Moderne Databases,h1,A1.10,ma,13
Sivar Rottier,Collectieve Intelligentie,h2,C0.110,di,15
Sivar Rottier,Databases 2,h1,C0.110,ma,17
Sivar Rottier,Databases 2,w1,A1.04,di,15
Sivar Rottier,Collectieve Intelligentie,w2,A1.06,do,9
Sivar Rottier,Collectieve Intelligentie,h1,C0.110,di,13
Sivar Rottier,Collectieve Intelligentie,p2,A1.06,vr,9
Sivar Rottier,Collectieve Intelligentie,h3,C0.110,di,17
Marco Gilsing,Moderne Databases,h1,A1.10,ma,13
Marco Gilsing,Moderne Databases,w3,A1.10,di,13
Marco Gilsing,Moderne Databases,p1,A1.10,di,15
Randell Nieman,Technology for games,w1,C1.112,ma,15
Randell Nieman,Technology for games,h1,A1.04,do,15
Randell Nieman,Technology for games,h2,A1.04,vr,9
Wichard Stienen,Calculus 2,h1,C0.110,ma,9
Wichard Stienen,Lineaire Algebra,h1,A1.10,ma,9
Wichard Stienen,Lineaire Algebra,h2,A1.10,ma,11
Wichard Stienen,Calculus 2,w2,A1.04,ma,11
Ludovicus Eissens,Bioinformatica,h2,B0.201,ma,11
Ludovicus Eissens,Kansrekenen 2,h1,C0.110,ma,11
Ludovicus Eissens,Kansrekenen 2,h2,C0.110,ma,13
Ludovicus Eissens,Software engineering,w1,A1.04,wo,11
Ludovicus Eissens,Bioinformatica,p3,A1.06,wo,13
Ludovicus Eissens,Bioinformatica,h3,B0.201,ma,13
Ludovicus Eissens,Bioinformatica,w3,A1.06,di,15
Ludovicus Eissens,Software engineering,p2,A1.04,do,9
Ludovicus Eissens,Software engineering,h1,C0.110,ma,15
Ludovicus Eissens,Bioinformatica,h1,B0.201,ma,9
Vanita Yusuf,Calculus 2,w2,A1.04,ma,11
Vanita Yusuf,Calculus 2,h1,C0.110,ma,9
Guilliano Blomsma,Webprogrammeren en databases,p1,C1.112,di,15
Guilliano Blomsma,Webprogrammeren en databases,w2,C1.112,di,13
Guilliano Blomsma,Project Genetic Algorithms,p3,A1.08,wo,11
Guilliano Blomsma,Webprogrammeren en databases,h2,A1.04,do,13
Guilliano Blomsma,Webprogrammeren en databases,h1,A1.04,do,11
Bo Hilhorst,Autonomous Agents 2,h2,B0.201,do,13
Bo Hilhorst,Autonomous Agents 2,p1,B0.201,wo,13
Bo Hilhorst,Autonomous Agents 2,h1,B0.201,do,11
Bo Hilhorst,Autonomous Agents 2,w2,C1.112,wo,15
Bo Hilhorst,Lineaire Algebra,h1,A1.10,ma,9
Bo Hilhorst,Lineaire Algebra,h2,A1.10,ma,11
Solomon Verhorst,Compilerbouw,h1,C0.110,di,9
Solomon Verhorst,Compilerbouw,w1,A1.04,ma,15
Solomon Verhorst,Compilerbouw,p1,A1.04,di,11
Solomon Verhorst,Compilerbouw,h2,C0.110,di,11
Olaf Sterenberg,Calculus 2,h1,C0.110,ma,9
Olaf Sterenberg,Programmeren in Java 2,p3,A1.10,vr,9
Olaf Sterenberg,Compilerbouw,p2,A1.04,di,13
