Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Rivelino Goor,Data Mining,h1,A1.04,vr,13
Rivelino Goor,Data Mining,p1,C1.112,vr,9
Rivelino Goor,Data Mining,h2,A1.04,vr,15
Rivelino Goor,Data Mining,w3,C1.112,do,15
Cemil van Barneveld,Zoeken sturen en bewegen,p2,A1.08,do,13
Cemil van Barneveld,Databases 2,h1,C0.110,ma,17
Cemil van Barneveld,Reflectie op de digitale cultuur,h2,A1.10,di,9
Cemil van Barneveld,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Cemil van Barneveld,Reflectie op de digitale cultuur,w2,C1.112,ma,11
Cemil van Barneveld,Databases 2,w2,C1.112,wo,9
Karolina Roodbeen,Zoeken sturen en bewegen,p2,A1.08,do,13
Karolina Roodbeen,Databases 2,h1,C0.110,ma,17
Karolina Roodbeen,Collectieve Intelligentie,p1,A1.06,do,15
Karolina Roodbeen,Collectieve Intelligentie,w2,A1.06,do,9
Karolina Roodbeen,Collectieve Intelligentie,h1,C0.110,di,13
Karolina Roodbeen,Webprogrammeren en databases,w2,C1.112,di,13
Karolina Roodbeen,Webprogrammeren en databases,p2,A1.04,wo,9
Karolina Roodbeen,Webprogrammeren en databases,h1,A1.04,do,11
Karolina Roodbeen,Collectieve Intelligentie,h2,C0.110,di,15
Karolina Roodbeen,Databases 2,w2,C1.112,wo,9
Karolina Roodbeen,Webprogrammeren en databases,h2,A1.04,do,13
Karolina Roodbeen,Collectieve Intelligentie,h3,C0.110,di,17
Stein Zweekhorst,Lineaire Algebra,h2,A1.10,ma,11
Stein Zweekhorst,Lineaire Algebra,h1,A1.10,ma,9
Talha Vermeeren,Data Mining,h1,A1.04,vr,13
Talha Vermeeren,Data Mining,p1,C1.112,vr,9
Talha Vermeeren,Data Mining,w1,C1.112,do,11
Talha Vermeeren,Data Mining,h2,A1.04,vr,15
Talha Vermeeren,Netwerken en systeembeveiliging,p4,A1.10,do,11
Kely Borg,Programmeren in Java 2,p4,C1.112,vr,13
Ynte van Berkom,Reflectie op de digitale cultuur,h2,A1.10,di,9
Ynte van Berkom,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Ynte van Berkom,Heuristieken 2,w1,A1.06,vr,15
Ynte van Berkom,Reflectie op de digitale cultuur,w2,C1.112,ma,11
Ynte van Berkom,Heuristieken 2,h1,A1.04,vr,11
Nuriye Kooijmans,Heuristieken 1,h1,B0.201,ma,15
Nuriye Kooijmans,Moderne Databases,p3,A1.10,wo,11
Nuriye Kooijmans,Advanced Heuristics,p2,A1.08,vr,11
Nuriye Kooijmans,Moderne Databases,w2,B0.201,vr,15
Nuriye Kooijmans,Analysemethoden en -technieken,h1,A1.10,di,11
Nuriye Kooijmans,Heuristieken 1,w1,A1.08,wo,11
Nuriye Kooijmans,Calculus 2,h1,C0.110,ma,9
Nuriye Kooijmans,Advanced Heuristics,h1,A1.06,di,9
Nuriye Kooijmans,Calculus 2,w3,A1.04,ma,13
Nuriye Kooijmans,Moderne Databases,h1,A1.10,ma,13
Shakir Paauwe,Bioinformatica,w2,A1.06,di,13
Shakir Paauwe,Bioinformatica,p1,A1.06,wo,9
Shakir Paauwe,Bioinformatica,h2,B0.201,ma,11
Shakir Paauwe,Netwerken en systeembeveiliging,p4,A1.10,do,11
Shakir Paauwe,Bioinformatica,h3,B0.201,ma,13
Shakir Paauwe,Bioinformatica,h1,B0.201,ma,9
Enes Siemonsma,Lineaire Algebra,h1,A1.10,ma,9
Enes Siemonsma,Lineaire Algebra,h2,A1.10,ma,11
Enes Siemonsma,Collectieve Intelligentie,p1,A1.06,do,15
Enes Siemonsma,Collectieve Intelligentie,w3,A1.06,do,11
Enes Siemonsma,Collectieve Intelligentie,h1,C0.110,di,13
Enes Siemonsma,Collectieve Intelligentie,h2,C0.110,di,15
Enes Siemonsma,Collectieve Intelligentie,h3,C0.110,di,17
Miguel van Oss,Netwerken en systeembeveiliging,p4,A1.10,do,11
Fransiscus Zagers,Kansrekenen 2,h1,C0.110,ma,11
Fransiscus Zagers,Webprogrammeren en databases,w1,C1.112,di,11
Fransiscus Zagers,Webprogrammeren en databases,h1,A1.04,do,11
Fransiscus Zagers,Webprogrammeren en databases,p2,A1.04,wo,9
Fransiscus Zagers,Webprogrammeren en databases,h2,A1.04,do,13
Fransiscus Zagers,Kansrekenen 2,h2,C0.110,ma,13
Samah van 't Oever,Moderne Databases,w1,A1.06,vr,13
