Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Karam Rinkel,Software engineering,h1,B0.201,wo,15
Karam Rinkel,Algoritmen en complexiteit,h1,C0.110,do,13
Karam Rinkel,Kansrekenen 2,h1,A1.10,vr,15
Karam Rinkel,Algoritmen en complexiteit,w1,A1.06,ma,13
Karam Rinkel,Algoritmen en complexiteit,p2,B0.201,ma,9
Karam Rinkel,Software engineering,w2,B0.201,di,9
Karam Rinkel,Software engineering,p2,B0.201,ma,15
Karam Rinkel,Kansrekenen 2,h2,C0.110,do,11
Annigje Prinssen,Netwerken en systeembeveiliging,p1,A1.08,vr,13
Annigje Prinssen,Moderne Databases,h1,A1.04,ma,13
Annigje Prinssen,Moderne Databases,w2,A1.06,wo,9
Annigje Prinssen,Moderne Databases,p3,A1.06,di,13
Samentha Toren,Calculus 2,h1,A1.04,wo,9
Samentha Toren,Kansrekenen 2,h1,A1.10,vr,15
Samentha Toren,Kansrekenen 2,h2,C0.110,do,11
Samentha Toren,Calculus 2,w1,A1.10,wo,11
Kimm Rienks,Software engineering,h1,B0.201,wo,15
Kimm Rienks,Calculus 2,h1,A1.04,wo,9
Kimm Rienks,Programmeren in Java 2,p2,A1.10,wo,13
Kimm Rienks,Software engineering,p1,C0.110,ma,13
Kimm Rienks,Calculus 2,w1,A1.10,wo,11
Kimm Rienks,Software engineering,w1,C0.110,di,9
Wafa Bart,Collectieve Intelligentie,h1,A1.04,wo,13
Wafa Bart,Kansrekenen 2,h1,A1.10,vr,15
Wafa Bart,Collectieve Intelligentie,h2,A1.08,do,13
Wafa Bart,Collectieve Intelligentie,p3,A1.06,ma,9
Wafa Bart,Collectieve Intelligentie,w3,C0.110,vr,13
Wafa Bart,Databases 2,h1,A1.04,vr,9
Wafa Bart,Collectieve Intelligentie,h3,C1.112,vr,11
Wafa Bart,Kansrekenen 2,h2,C0.110,do,11
Wafa Bart,Analysemethoden en -technieken,h1,B0.201,vr,11
Wafa Bart,Databases 2,w1,A1.04,di,9
Silvy Schrauwen,Moderne Databases,p1,A1.04,wo,15
Silvy Schrauwen,Moderne Databases,h1,A1.04,ma,13
Silvy Schrauwen,Reflectie op de digitale cultuur,h2,A1.06,vr,11
Silvy Schrauwen,Moderne Databases,w3,A1.10,ma,13
Silvy Schrauwen,Reflectie op de digitale cultuur,w3,A1.06,ma,15
Silvy Schrauwen,Netwerken en systeembeveiliging,p2,A1.06,di,9
Silvy Schrauwen,Reflectie op de digitale cultuur,h1,B0.201,wo,9
Silvy Schrauwen,Programmeren in Java 2,p3,A1.10,do,15
Adil Klop,Heuristieken 2,w1,C0.110,do,17
Adil Klop,Calculus 2,h1,A1.04,wo,9
Adil Klop,Programmeren in Java 2,p4,C1.112,di,9
Adil Klop,Heuristieken 2,h1,A1.08,ma,11
Adil Klop,Calculus 2,w3,C1.112,wo,13
Karim Vingerhoets,Compilerbouw,h1,C1.112,ma,11
Karim Vingerhoets,Heuristieken 1,w2,C0.110,di,13
Karim Vingerhoets,Compilerbouw,w2,A1.10,do,11
Karim Vingerhoets,Compilerbouw,p2,B0.201,do,13
Karim Vingerhoets,Heuristieken 1,h1,C0.110,vr,15
Karim Vingerhoets,Compilerbouw,h2,A1.10,vr,9
Eltjo Beunen,Software engineering,h1,B0.201,wo,15
Eltjo Beunen,Reflectie op de digitale cultuur,h1,B0.201,wo,9
Eltjo Beunen,Reflectie op de digitale cultuur,h2,A1.06,vr,11
Eltjo Beunen,Software engineering,p2,B0.201,ma,15
Eltjo Beunen,Software engineering,w2,B0.201,di,9
Eltjo Beunen,Reflectie op de digitale cultuur,w2,A1.04,do,13
Devon Keijser,Interactie-ontwerp,h1,B0.201,ma,11
Devon Keijser,Interactie-ontwerp,h2,A1.10,di,11
Boy Dibbets,Heuristieken 2,w1,C0.110,do,17
Boy Dibbets,Databases 2,w2,C0.110,vr,17
Boy Dibbets,Heuristieken 2,h1,A1.08,ma,11
Boy Dibbets,Lineaire Algebra,h1,B0.201,di,13
Boy Dibbets,Databases 2,h1,A1.04,vr,9
Boy Dibbets,Programmeren in Java 2,p3,A1.10,do,15
Boy Dibbets,Lineaire Algebra,h2,C0.110,wo,11
Raven Elissen,Netwerken en systeembeveiliging,p1,A1.08,vr,13
Raven Elissen,Bioinformatica,h2,A1.06,wo,13
Raven Elissen,Bioinformatica,p2,C0.110,ma,9
Raven Elissen,Bioinformatica,h1,A1.04,ma,9
Raven Elissen,Bioinformatica,h3,C0.110,di,11
Raven Elissen,Bioinformatica,w3,A1.10,di,13
Berdina Heijman,Kansrekenen 2,h1,A1.10,vr,15
Berdina Heijman,Netwerken en systeembeveiliging,p4,C1.112,di,15
Berdina Heijman,Kansrekenen 2,h2,C0.110,do,11
Berdina Heijman,Project Genetic Algorithms,p3,A1.08,ma,9
Krijntje Rombout,Software engineering,h1,B0.201,wo,15
Krijntje Rombout,Calculus 2,h1,A1.04,wo,9
Krijntje Rombout,Software engineering,p1,C0.110,ma,13
